label,text
positif,"mimpi adalah kunci untuk kita menaklukkan dunia berlarilah tanpa lelah sampai engkau meraihnya"
positif,"Cinta satukan hati Kuatkan jiwa menghadapi dunia Segala cinta dan luka Kuatkan semua persahabatan"
positif,"Kau adalah Tempatku membagi kisahkuKau sempurnaJadi bagian hidupkuApapun kekuranganmu"
positif,"Kau teman sehati Kita teman sejatiHadapilan dunia Genggam tanganku"
positif,"buka kita buka hari yang barusebagai semangat langkah ke depanjadi pribadi barubuka kita buka jalan yang barutebarkan senyum wajah gembiradamai suasana barubukalah bukalah semangat barubukalah bukalah semangat barubukalah bukalah semangat baru"
negatif,"Lupa, lupa lupa lupa, lupa lagi syairnyaLupa, lupa lupa lupa, lupa lagi syairnyaIngat, ingat ingat ingat, cuma ingat kuncinyaIngat, aku ingat ingat, cuma ingat kuncinyaC A minor D minor ke G ke C lagiA minor D minor ke G ke C lagiA minor D minor ke G ke C lagi"
negatif,"Satu jam saja ku sayang jantungku deg-deganWaktu kamu peluk dirikuAku sayang badanku gemetaran"
negatif,"muingin kau tau diriku disini menanti dirimumeski kutunggu hingga ujung waktukudan berharap rasa ini kan abadi untuk selamanyadan ijinkan aku memeluk dirimu kali ini sajatuk ucapkan slamat tinggal untuk slamanyadan biarkan rasa ini bahagia untuk sekejap saja"
negatif,"Maafkan aku Menduakan cintamuBerat rasa hatiku..Tinggalkan dirinyaDan demi waktu..Yang bergulir di sampingmuMaafkanlah diriku..Sepenuh hatimuSeandainya bila..Ku bisa memilih"
negatif,"Lelaki buaya darat Busyet aku tertipu lagiMulutnya manis sekaliTapi hati bagai serigala"
